,idx_session,idx_pi,idx_start,idx_stop,stop_session,base_iterations,quite,iteration,pi,start,stop,method,jobs
16,64,65,66,67,-1,1700000,True,25500000,3.1415926168249393,1679982493.024657,1679982501.601997,<class 'multiprocessing.context.Process'>,30
17,68,69,70,71,-1,1800000,True,27000000,3.1415926188676875,1679982493.0073555,1679982501.5713658,<class 'multiprocessing.context.Process'>,30
18,72,73,74,75,-1,1900000,True,13300000,3.141592587800386,1679982493.161701,1679982501.1840057,<class 'multiprocessing.context.Process'>,30
19,76,77,78,79,-1,2000000,True,14000000,3.1415925910897826,1679982493.8114562,1679982501.518685,<class 'multiprocessing.context.Process'>,30
20,80,81,82,83,-1,2100000,True,29400000,3.1415926218440857,1679982493.0968187,1679982501.245065,<class 'multiprocessing.context.Process'>,30
21,84,85,86,87,-1,2200000,True,13200000,3.141592588654821,1679982492.997311,1679982500.9202595,<class 'multiprocessing.context.Process'>,30
22,88,89,90,91,-1,2300000,True,11500000,3.1415925811261607,1679982493.620249,1679982500.95853,<class 'multiprocessing.context.Process'>,30
23,92,93,94,95,-1,2400000,True,14400000,3.141592594065986,1679982493.0953445,1679982500.8136458,<class 'multiprocessing.context.Process'>,30
24,96,97,98,99,-1,2500000,True,32500000,3.141592625018913,1679982493.1553154,1679982501.666853,<class 'multiprocessing.context.Process'>,30
25,100,101,102,103,-1,2600000,True,15600000,3.141592598644702,1679982494.5245156,1679982500.8789222,<class 'multiprocessing.context.Process'>,30
26,104,105,106,107,-1,2700000,True,29700000,3.141592622726178,1679982493.8985987,1679982501.5934763,<class 'multiprocessing.context.Process'>,30
27,108,109,110,111,-1,2800000,True,28000000,3.141592621122595,1679982493.1003177,1679982501.623425,<class 'multiprocessing.context.Process'>,30
28,112,113,114,115,-1,2900000,True,11600000,3.141592584624389,1679982493.323619,1679982501.0340283,<class 'multiprocessing.context.Process'>,30
29,116,117,118,119,-1,3000000,True,12000000,3.141592586923296,1679982493.0973182,1679982500.8378263,<class 'multiprocessing.context.Process'>,30
