,idx_session,idx_pi,idx_start,idx_stop,stop_session,base_iterations,quite,iteration,pi,start,stop,method
0,0,1,2,3,-1,100000,True,114300000,3.141592644848135,1679974726.6900127,1679974736.267466,<class 'multiprocessing.context.Process'>
1,4,5,6,7,-1,200000,True,114600000,3.141592644878581,1679974726.69233,1679974736.270466,<class 'multiprocessing.context.Process'>
2,8,9,10,11,-1,300000,True,114600000,3.141592644886163,1679974726.69233,1679974736.250466,<class 'multiprocessing.context.Process'>
3,12,13,14,15,-1,400000,True,114400000,3.141592644878581,1679974726.6913302,1679974736.2514665,<class 'multiprocessing.context.Process'>
4,16,17,18,19,-1,500000,True,114000000,3.141592644855741,1679974726.6900127,1679974736.2374656,<class 'multiprocessing.context.Process'>
0,0,1,2,3,-1,100000,True,45700000,3.1415926317561667,1679974741.0589795,1679974750.2619195,<class 'multiprocessing.context.Process'>
1,4,5,6,7,-1,200000,True,41400000,3.141592629552149,1679974741.1208043,1679974750.230147,<class 'multiprocessing.context.Process'>
2,8,9,10,11,-1,300000,True,41400000,3.141592629609817,1679974741.119786,1679974750.2392344,<class 'multiprocessing.context.Process'>
3,12,13,14,15,-1,400000,True,40800000,3.141592629318702,1679974741.1552844,1679974750.25292,<class 'multiprocessing.context.Process'>
4,16,17,18,19,-1,500000,True,39500000,3.1415926285904643,1679974741.1471214,1679974750.2331655,<class 'multiprocessing.context.Process'>
5,20,21,22,23,-1,600000,True,38400000,3.1415926279494286,1679974741.1784563,1679974750.2211466,<class 'multiprocessing.context.Process'>
6,24,25,26,27,-1,700000,True,39900000,3.1415926289600096,1679974741.142811,1679974750.1545105,<class 'multiprocessing.context.Process'>
7,28,29,30,31,-1,800000,True,44000000,3.1415926312687192,1679974741.1264331,1679974750.1400547,<class 'multiprocessing.context.Process'>
8,32,33,34,35,-1,900000,True,39600000,3.141592628899209,1679974741.160953,1679974750.2447553,<class 'multiprocessing.context.Process'>
9,36,37,38,39,-1,1000000,True,43000000,3.141592630863061,1679974741.179474,1679974750.164513,<class 'multiprocessing.context.Process'>
10,40,41,42,43,-1,1100000,True,42900000,3.141592630863061,1679974741.1542697,1679974750.0784397,<class 'multiprocessing.context.Process'>
11,44,45,46,47,-1,1200000,True,42000000,3.1415926304421733,1679974741.1784563,1679974750.109122,<class 'multiprocessing.context.Process'>
12,48,49,50,51,-1,1300000,True,39000000,3.141592628776563,1679974741.2040994,1679974750.1979773,<class 'multiprocessing.context.Process'>
13,52,53,54,55,-1,1400000,True,39200000,3.1415926289600096,1679974741.186709,1679974750.124154,<class 'multiprocessing.context.Process'>
14,56,57,58,59,-1,1500000,True,39000000,3.141592628899209,1679974741.160953,1679974750.1894665,<class 'multiprocessing.context.Process'>
15,60,61,62,63,-1,1600000,True,41600000,3.1415926304421733,1679974741.146363,1679974750.0137088,<class 'multiprocessing.context.Process'>
16,64,65,66,67,-1,1700000,True,40800000,3.14159263006092,1679974741.1943464,1679974749.9368927,<class 'multiprocessing.context.Process'>
17,68,69,70,71,-1,1800000,True,37800000,3.141592628338019,1679974741.2675154,1679974750.0774395,<class 'multiprocessing.context.Process'>
18,72,73,74,75,-1,1900000,True,39900000,3.14159262966722,1679974741.2753663,1679974749.9667912,<class 'multiprocessing.context.Process'>
19,76,77,78,79,-1,2000000,True,40000000,3.141592629781138,1679974741.2746563,1679974749.9586616,<class 'multiprocessing.context.Process'>
0,0,1,2,3,-1,100000,True,45000000,3.1415926314172067,1679974753.620901,1679974762.8043125,<class 'multiprocessing.context.Process'>
1,4,5,6,7,-1,200000,True,43400000,3.141592630654569,1679974753.6409314,1679974762.808313,<class 'multiprocessing.context.Process'>
2,8,9,10,11,-1,300000,True,44700000,3.141592631367922,1679974753.620901,1679974762.7993124,<class 'multiprocessing.context.Process'>
3,12,13,14,15,-1,400000,True,41200000,3.141592629552149,1679974753.6495886,1679974762.744285,<class 'multiprocessing.context.Process'>
4,16,17,18,19,-1,500000,True,43500000,3.141592630863061,1679974753.6573246,1679974762.778634,<class 'multiprocessing.context.Process'>
5,20,21,22,23,-1,600000,True,42600000,3.1415926304421733,1679974753.6219242,1679974762.7033114,<class 'multiprocessing.context.Process'>
6,24,25,26,27,-1,700000,True,37100000,3.141592627135364,1679974753.6816115,1679974762.7064817,<class 'multiprocessing.context.Process'>
7,28,29,30,31,-1,800000,True,38400000,3.141592628080266,1679974753.694132,1679974762.767975,<class 'multiprocessing.context.Process'>
8,32,33,34,35,-1,900000,True,40500000,3.141592629435949,1679974753.657985,1679974762.7709756,<class 'multiprocessing.context.Process'>
9,36,37,38,39,-1,1000000,True,44000000,3.141592631367922,1679974753.6921337,1679974762.7963128,<class 'multiprocessing.context.Process'>
10,40,41,42,43,-1,1100000,True,42900000,3.141592630863061,1679974753.6536546,1679974762.627972,<class 'multiprocessing.context.Process'>
11,44,45,46,47,-1,1200000,True,43200000,3.141592631067753,1679974753.698132,1679974762.6806183,<class 'multiprocessing.context.Process'>
12,48,49,50,51,-1,1300000,True,40300000,3.141592629552149,1679974753.6961322,1679974762.5511482,<class 'multiprocessing.context.Process'>
13,52,53,54,55,-1,1400000,True,42000000,3.141592630548838,1679974753.683431,1679974762.5417798,<class 'multiprocessing.context.Process'>
